INDEX,DATE,TIME,SECONDS_SINCE_MIDNIGHT,TRIP_ID,DIR,SPEED,LAT,LONG,ALT,EXITS,ENTRANCES
3028,10/25/2010,11:34:08,41648,6,N,77.314789,41.377593,-73.984484,137.440277,0,0
3029,10/25/2010,11:34:12,41652,6,N,67.696342,41.37695,-73.983621,132.485214,0,0
3030,10/25/2010,11:34:18,41658,6,N,52.23032,41.376424,-73.982953,131.084335,0,0
3031,10/25/2010,11:34:23,41663,6,N,48.386875,41.37586,-73.982868,130.82045,0,0
3032,10/25/2010,11:34:27,41667,6,N,48.122055,41.375757,-73.983603,132.488953,0,0
3033,10/25/2010,11:34:33,41673,6,N,53.094814,41.376318,-73.983802,133.360458,0,0
3034,10/25/2010,11:34:38,41678,6,N,51.374336,41.376837,-73.983284,133.687057,0,0
3035,10/25/2010,11:34:43,41683,6,N,52.006001,41.377327,-73.9827,132.09227,0,0
3036,10/25/2010,11:34:48,41688,6,N,58.65781,41.377896,-73.982166,129.318268,0,0
3037,10/25/2010,11:34:53,41693,6,N,60.748112,41.378564,-73.98169,130.580933,0,0
3038,10/25/2010,11:34:58,41698,6,N,54.524185,41.37926,-73.981354,133.554794,0,0
3039,10/25/2010,11:35:03,41703,6,N,39.582684,41.379831,-73.98118,137.537308,0,0
3040,10/25/2010,11:35:08,41708,6,N,35.643425,41.380304,-73.981044,140.969467,0,0
3041,10/25/2010,11:35:13,41713,6,N,19.334728,41.380633,-73.980939,143.106216,0,0
3042,10/25/2010,11:35:18,41718,6,N,2.809016,41.380741,-73.980871,145.128159,0,0
3043,10/25/2010,11:35:23,41723,6,N,0.738978,41.380745,-73.980847,146.489731,0,0
3044,10/25/2010,11:35:28,41728,6,N,0.355682,41.380735,-73.98084,146.853394,0,0
3045,10/25/2010,11:35:33,41733,6,N,16.485575,41.380773,-73.98085,147.618744,0,0
3046,10/25/2010,11:35:38,41738,6,N,25.603039,41.381017,-73.980781,148.584869,0,0
3047,10/25/2010,11:35:43,41743,6,N,34.26926,41.38141,-73.980684,151.679794,0,0
3048,10/25/2010,11:35:48,41748,6,N,41.952782,41.381861,-73.980544,153.991104,0,0
3049,10/25/2010,11:35:53,41753,6,N,51.305794,41.382413,-73.980239,156.88562,0,0
3050,10/25/2010,11:35:58,41758,6,N,58.698246,41.382933,-73.979622,159.440964,0,0
